"##characteristics#compile#binary_size#min";"##characteristics#run#execution_time_kernel_0#center";"##characteristics#run#execution_time_kernel_0#halfrange"
104983;2.1366975;0.0224835
104754;2.293926;0.145967
357080;5.772895;0.126049
97968;2.015057;0.293552
90808;2.01587;0.0
97942;2.1910705;0.2888625
74794;2.8068045;0.0107335
104866;1.663991;0.0
100845;2.209308;0.0
357076;5.460946;0.0
97433;2.436899;0.045943
74881;2.913662;0.348809
100817;2.0353115;0.0725835
109111;1.963368;0.191006
93776;2.296471;0.053471
357076;6.069413;0.0
96993;1.980761;0.178964
74942;2.7957895;0.1007385
103668;2.1225315;0.1656225
340004;5.64492;0.12786
109111;2.18425;0.0
90808;2.01587;0.0
104866;1.663991;0.0
74881;2.913662;0.348809
96993;1.980761;0.178964

